testCaseId,_desc,name,expectStatus,expectSchema,knownBug
TC-FR14-001,POST valid category,Điện thoại,200,true,
TC-FR14-002,POST valid category 2,Laptop,200,true,
TC-FR14-003,POST empty name,,400,,
TC-FR14-004,POST missing name,,400,,
TC-FR14-005,POST whitespace-only,   ,400,,
TC-FR14-006,POST very long name,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,400,,
TC-FR14-007,POST unicode name,Đồng hồ thông minh,200,true,
TC-FR14-008,POST special chars,Phụ kiện & Linh kiện,200,true,
TC-FR14-009,POST numeric name,12345,200,true,
TC-FR14-010,POST duplicate name,Điện thoại,200,true,true
TC-FR14-011,POST SQL injection,'; DROP TABLE categories;--,200,true,
TC-FR14-012,POST XSS,<script>alert('xss')</script>,200,true,
TC-FR14-038,POST boundary 255 chars,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,200,true,
TC-FR14-039,POST leading space, Leading,200,true,
TC-FR14-040,POST trailing space,Trailing ,200,true,
TC-FR14-046,POST empty string (BUG),,200,true,true
TC-FR14-047,POST whitespace-only (BUG),   ,200,true,true
