ts,iso,sut_cpu,sut_rss_mb,jmeter_cpu,jmeter_rss_mb
1786714814,2026-08-14T20:40:14+07:00,0.0,70,0,0
1786714815,2026-08-14T20:40:15+07:00,23.7,81,308.5,270
1786714816,2026-08-14T20:40:16+07:00,134.9,106,147.5,303
1786714817,2026-08-14T20:40:17+07:00,132.9,108,89.1,473
1786714818,2026-08-14T20:40:18+07:00,126.2,151,98.6,635
1786714819,2026-08-14T20:40:19+07:00,125.5,145,34.8,771
1786714820,2026-08-14T20:40:20+07:00,124.6,142,18.1,772
1786714821,2026-08-14T20:40:21+07:00,124.1,147,15.5,772
1786714822,2026-08-14T20:40:22+07:00,122.0,149,18.4,773
1786714823,2026-08-14T20:40:23+07:00,123.0,151,16.5,844
1786714824,2026-08-14T20:40:24+07:00,121.8,155,58.8,844
1786714825,2026-08-14T20:40:25+07:00,110.4,155,13.6,844
1786714826,2026-08-14T20:40:26+07:00,116.6,156,22.3,845
1786714827,2026-08-14T20:40:27+07:00,108.8,157,11.2,850
1786714828,2026-08-14T20:40:28+07:00,118.2,158,11.5,850
1786714829,2026-08-14T20:40:29+07:00,111.2,158,8.8,850
1786714830,2026-08-14T20:40:30+07:00,96.0,158,11.5,850
1786714831,2026-08-14T20:40:31+07:00,98.8,160,8.3,851
1786714833,2026-08-14T20:40:33+07:00,113.3,160,10.1,851
1786714834,2026-08-14T20:40:34+07:00,102.6,160,8.8,851
1786714835,2026-08-14T20:40:35+07:00,113.6,161,9.6,851
1786714836,2026-08-14T20:40:36+07:00,109.9,161,8.3,851
1786714837,2026-08-14T20:40:37+07:00,125.4,162,11.4,851
1786714838,2026-08-14T20:40:38+07:00,117.4,162,11.3,851
1786714839,2026-08-14T20:40:39+07:00,117.1,163,10.9,851
1786714840,2026-08-14T20:40:40+07:00,119.1,163,13.4,852
1786714841,2026-08-14T20:40:41+07:00,72.1,163,5.1,852
1786714842,2026-08-14T20:40:42+07:00,123.7,163,10.1,852
1786714843,2026-08-14T20:40:43+07:00,115.6,163,10.2,852
1786714844,2026-08-14T20:40:44+07:00,121.2,163,11.3,852
1786714845,2026-08-14T20:40:45+07:00,116.9,163,14.1,852
1786714846,2026-08-14T20:40:46+07:00,115.3,164,11.0,852
1786714847,2026-08-14T20:40:47+07:00,119.8,164,10.3,852
1786714848,2026-08-14T20:40:48+07:00,116.1,164,10.3,852
1786714849,2026-08-14T20:40:49+07:00,114.9,164,9.5,852
1786714850,2026-08-14T20:40:50+07:00,116.0,165,9.7,852
1786714851,2026-08-14T20:40:51+07:00,120.1,165,10.9,852
1786714852,2026-08-14T20:40:52+07:00,118.9,165,10.0,852
1786714853,2026-08-14T20:40:53+07:00,122.0,166,10.4,852
1786714855,2026-08-14T20:40:55+07:00,118.5,166,10.2,853
1786714856,2026-08-14T20:40:56+07:00,109.7,166,12.9,853
1786714857,2026-08-14T20:40:57+07:00,119.9,167,10.1,853
1786714858,2026-08-14T20:40:58+07:00,127.3,167,10.2,853
1786714859,2026-08-14T20:40:59+07:00,115.7,167,10.4,853
1786714860,2026-08-14T20:41:00+07:00,118.8,168,11.3,853
1786714861,2026-08-14T20:41:01+07:00,119.3,169,10.6,853
1786714862,2026-08-14T20:41:02+07:00,116.3,167,9.6,853
1786714863,2026-08-14T20:41:03+07:00,115.8,167,9.9,853
1786714864,2026-08-14T20:41:04+07:00,119.6,169,11.3,853
1786714865,2026-08-14T20:41:05+07:00,121.6,168,10.6,853
1786714866,2026-08-14T20:41:06+07:00,110.3,169,8.4,853
1786714867,2026-08-14T20:41:07+07:00,117.7,169,10.1,853
1786714868,2026-08-14T20:41:08+07:00,116.0,169,9.6,853
1786714869,2026-08-14T20:41:09+07:00,114.3,170,9.3,853
1786714870,2026-08-14T20:41:10+07:00,116.8,172,10.7,853
1786714871,2026-08-14T20:41:11+07:00,115.5,171,10.2,853
1786714872,2026-08-14T20:41:12+07:00,110.7,171,7.3,854
1786714873,2026-08-14T20:41:13+07:00,121.5,173,10.4,854
1786714874,2026-08-14T20:41:14+07:00,119.0,173,11.4,854
1786714875,2026-08-14T20:41:15+07:00,115.8,172,9.9,854
1786714877,2026-08-14T20:41:17+07:00,119.3,172,11.7,854
1786714878,2026-08-14T20:41:18+07:00,122.8,172,10.5,854
1786714879,2026-08-14T20:41:19+07:00,113.7,172,9.7,854
1786714880,2026-08-14T20:41:20+07:00,116.3,172,10.9,855
1786714881,2026-08-14T20:41:21+07:00,117.1,173,10.3,855
1786714882,2026-08-14T20:41:22+07:00,118.7,174,10.3,855
1786714883,2026-08-14T20:41:23+07:00,115.9,174,10.3,855
1786714884,2026-08-14T20:41:24+07:00,117.5,175,10.6,855
1786714885,2026-08-14T20:41:25+07:00,118.8,175,10.1,855
1786714886,2026-08-14T20:41:26+07:00,121.4,176,10.2,855
