ts,iso,sut_cpu,sut_rss_mb,jmeter_cpu,jmeter_rss_mb
1786713811,2026-08-14T20:23:31+07:00,0.0,98,0,0
1786713812,2026-08-14T20:23:32+07:00,0.2,98,117.8,219
1786713813,2026-08-14T20:23:33+07:00,4.6,98,83.4,225
1786713814,2026-08-14T20:23:34+07:00,9.1,98,28.3,241
1786713816,2026-08-14T20:23:36+07:00,13.7,98,24.1,242
1786713817,2026-08-14T20:23:37+07:00,13.4,76,26.2,243
1786713818,2026-08-14T20:23:38+07:00,17.4,83,34.1,245
1786713819,2026-08-14T20:23:39+07:00,20.6,85,28.5,256
1786713820,2026-08-14T20:23:40+07:00,22.8,84,40.7,257
1786713821,2026-08-14T20:23:41+07:00,25.8,88,36.2,259
1786713822,2026-08-14T20:23:42+07:00,29.4,91,34.4,259
1786713823,2026-08-14T20:23:43+07:00,31.8,91,28.8,260
1786713824,2026-08-14T20:23:44+07:00,34.1,91,18.2,260
1786713825,2026-08-14T20:23:45+07:00,36.4,89,29.9,261
1786713826,2026-08-14T20:23:46+07:00,25.0,93,36.0,270
1786713827,2026-08-14T20:23:47+07:00,25.3,97,26.0,270
1786713828,2026-08-14T20:23:48+07:00,37.3,97,26.9,271
1786713829,2026-08-14T20:23:49+07:00,31.9,98,21.2,271
1786713831,2026-08-14T20:23:51+07:00,35.0,98,23.1,271
1786713832,2026-08-14T20:23:52+07:00,30.0,98,24.5,272
1786713833,2026-08-14T20:23:53+07:00,23.1,98,21.3,282
1786713834,2026-08-14T20:23:54+07:00,22.2,98,19.3,294
1786713835,2026-08-14T20:23:55+07:00,42.3,98,16.7,306
1786713836,2026-08-14T20:23:56+07:00,42.6,98,14.1,317
1786713837,2026-08-14T20:23:57+07:00,42.0,98,16.2,327
1786713838,2026-08-14T20:23:58+07:00,39.1,98,21.4,339
1786713839,2026-08-14T20:23:59+07:00,21.1,98,27.5,350
1786713840,2026-08-14T20:24:00+07:00,43.4,98,19.6,361
1786713841,2026-08-14T20:24:01+07:00,29.5,99,27.8,372
1786713842,2026-08-14T20:24:02+07:00,12.2,99,39.6,389
1786713843,2026-08-14T20:24:03+07:00,31.3,99,17.4,403
1786713845,2026-08-14T20:24:05+07:00,43.2,99,10.5,414
