ts,iso,sut_cpu,sut_rss_mb,jmeter_cpu,jmeter_rss_mb
1786712707,2026-08-14T20:05:07+07:00,0.0,93,0,0
1786712708,2026-08-14T20:05:08+07:00,0.0,93,75.3,246
1786712709,2026-08-14T20:05:09+07:00,0.0,93,21.1,251
1786712710,2026-08-14T20:05:10+07:00,2.4,93,11.0,251
1786712711,2026-08-14T20:05:11+07:00,4.6,93,19.6,252
1786712712,2026-08-14T20:05:12+07:00,7.7,93,15.5,253
1786712713,2026-08-14T20:05:13+07:00,7.9,93,13.2,254
1786712714,2026-08-14T20:05:14+07:00,10.8,65,20.8,255
1786712716,2026-08-14T20:05:16+07:00,10.9,65,23.7,255
1786712717,2026-08-14T20:05:17+07:00,16.0,66,28.8,256
1786712718,2026-08-14T20:05:18+07:00,13.2,66,19.7,259
1786712719,2026-08-14T20:05:19+07:00,12.7,68,23.3,303
1786712720,2026-08-14T20:05:20+07:00,11.3,68,21.9,305
1786712721,2026-08-14T20:05:21+07:00,16.1,71,36.0,306
1786712722,2026-08-14T20:05:22+07:00,23.3,71,24.5,307
1786712723,2026-08-14T20:05:23+07:00,22.9,71,21.3,308
1786712724,2026-08-14T20:05:24+07:00,16.8,74,24.9,309
1786712725,2026-08-14T20:05:25+07:00,17.0,76,16.6,309
1786712726,2026-08-14T20:05:26+07:00,13.7,77,17.8,309
1786712727,2026-08-14T20:05:27+07:00,22.5,77,13.8,310
1786712728,2026-08-14T20:05:28+07:00,21.3,77,16.1,311
1786712730,2026-08-14T20:05:30+07:00,22.4,76,13.5,314
1786712731,2026-08-14T20:05:31+07:00,18.1,76,11.6,318
1786712732,2026-08-14T20:05:32+07:00,14.0,79,8.7,322
1786712733,2026-08-14T20:05:33+07:00,24.6,82,12.4,328
1786712734,2026-08-14T20:05:34+07:00,20.5,86,15.3,333
1786712735,2026-08-14T20:05:35+07:00,24.4,90,7.9,348
1786712736,2026-08-14T20:05:36+07:00,19.4,90,4.3,348
1786712737,2026-08-14T20:05:37+07:00,25.9,93,19.9,348
1786712738,2026-08-14T20:05:38+07:00,20.7,93,14.7,349
1786712739,2026-08-14T20:05:39+07:00,22.5,92,8.7,349
1786712740,2026-08-14T20:05:40+07:00,16.6,92,11.8,349
1786712741,2026-08-14T20:05:41+07:00,22.1,92,8.1,349
1786712743,2026-08-14T20:05:43+07:00,21.7,92,8.4,349
1786712744,2026-08-14T20:05:44+07:00,20.6,92,12.6,355
1786712745,2026-08-14T20:05:45+07:00,19.9,92,5.9,355
1786712746,2026-08-14T20:05:46+07:00,23.3,92,12.2,355
1786712747,2026-08-14T20:05:47+07:00,30.1,93,13.3,355
1786712748,2026-08-14T20:05:48+07:00,22.3,93,6.5,355
1786712749,2026-08-14T20:05:49+07:00,20.8,94,10.3,356
1786712750,2026-08-14T20:05:50+07:00,18.2,94,6.3,357
1786712751,2026-08-14T20:05:51+07:00,17.2,94,22.2,357
1786712752,2026-08-14T20:05:52+07:00,23.9,94,5.5,357
1786712753,2026-08-14T20:05:53+07:00,22.8,94,4.2,357
1786712754,2026-08-14T20:05:54+07:00,22.4,94,4.8,357
1786712755,2026-08-14T20:05:55+07:00,24.7,94,4.8,357
1786712757,2026-08-14T20:05:57+07:00,22.4,94,4.4,358
1786712758,2026-08-14T20:05:58+07:00,27.1,94,4.8,358
1786712759,2026-08-14T20:05:59+07:00,24.2,95,7.0,359
1786712760,2026-08-14T20:06:00+07:00,24.2,95,3.0,359
