ts,iso,sut_cpu,sut_rss_mb,jmeter_cpu,jmeter_rss_mb
1786719980,2026-08-14T22:06:20+07:00,0.3,59,0,0
1786719981,2026-08-14T22:06:21+07:00,0.0,59,68.5,216
1786719982,2026-08-14T22:06:22+07:00,0.0,59,0.7,216
1786719983,2026-08-14T22:06:23+07:00,0.0,60,4.0,219
1786719984,2026-08-14T22:06:24+07:00,1.0,60,1.0,219
1786719985,2026-08-14T22:06:25+07:00,0.0,60,0.3,219
1786719986,2026-08-14T22:06:26+07:00,0.0,60,0.1,219
1786719987,2026-08-14T22:06:27+07:00,1.7,60,2.3,219
1786719989,2026-08-14T22:06:29+07:00,1.3,60,2.8,220
1786719990,2026-08-14T22:06:30+07:00,1.6,61,12.8,220
1786719991,2026-08-14T22:06:31+07:00,2.9,61,15.5,232
1786719992,2026-08-14T22:06:32+07:00,1.4,61,11.8,246
1786719993,2026-08-14T22:06:33+07:00,2.8,61,4.6,246
1786719994,2026-08-14T22:06:34+07:00,2.1,61,9.9,246
1786719995,2026-08-14T22:06:35+07:00,1.3,61,3.0,246
1786719996,2026-08-14T22:06:36+07:00,4.9,60,4.8,246
1786719997,2026-08-14T22:06:37+07:00,2.0,61,4.0,246
1786719998,2026-08-14T22:06:38+07:00,0.7,61,1.1,246
1786719999,2026-08-14T22:06:39+07:00,3.5,61,14.7,246
1786720000,2026-08-14T22:06:40+07:00,2.1,62,3.2,247
1786720001,2026-08-14T22:06:41+07:00,1.7,62,3.9,247
1786720002,2026-08-14T22:06:42+07:00,1.4,61,1.8,247
1786720003,2026-08-14T22:06:43+07:00,1.7,61,1.2,247
1786720004,2026-08-14T22:06:44+07:00,3.6,61,4.7,247
1786720005,2026-08-14T22:06:45+07:00,2.5,62,4.1,247
1786720007,2026-08-14T22:06:47+07:00,5.2,63,8.6,247
1786720008,2026-08-14T22:06:48+07:00,1.9,63,3.9,248
1786720009,2026-08-14T22:06:49+07:00,2.9,62,3.2,248
1786720010,2026-08-14T22:06:50+07:00,2.6,62,3.6,248
1786720011,2026-08-14T22:06:51+07:00,5.9,63,5.1,248
1786720012,2026-08-14T22:06:52+07:00,6.1,63,4.3,248
1786720013,2026-08-14T22:06:53+07:00,5.4,63,6.6,248
1786720014,2026-08-14T22:06:54+07:00,4.9,63,3.8,259
1786720015,2026-08-14T22:06:55+07:00,5.6,64,3.2,259
1786720016,2026-08-14T22:06:56+07:00,2.1,64,2.9,260
1786720017,2026-08-14T22:06:57+07:00,5.8,64,8.1,260
1786720018,2026-08-14T22:06:58+07:00,6.4,65,15.1,260
1786720019,2026-08-14T22:06:59+07:00,5.5,65,4.6,260
1786720020,2026-08-14T22:07:00+07:00,7.6,64,8.3,260
1786720021,2026-08-14T22:07:01+07:00,6.3,65,8.0,260
1786720022,2026-08-14T22:07:02+07:00,4.8,65,6.0,261
1786720023,2026-08-14T22:07:03+07:00,6.5,65,10.5,261
1786720025,2026-08-14T22:07:05+07:00,13.2,67,5.4,261
1786720026,2026-08-14T22:07:06+07:00,4.9,67,8.9,261
1786720027,2026-08-14T22:07:07+07:00,5.3,67,3.3,262
1786720028,2026-08-14T22:07:08+07:00,8.1,68,4.8,262
1786720029,2026-08-14T22:07:09+07:00,3.6,69,4.3,262
1786720030,2026-08-14T22:07:10+07:00,9.9,69,3.4,262
1786720031,2026-08-14T22:07:11+07:00,5.2,71,4.3,263
1786720032,2026-08-14T22:07:12+07:00,7.2,71,2.7,263
1786720033,2026-08-14T22:07:13+07:00,3.1,71,0.8,263
1786720034,2026-08-14T22:07:14+07:00,14.4,71,5.8,263
1786720035,2026-08-14T22:07:15+07:00,4.4,72,1.9,263
1786720036,2026-08-14T22:07:16+07:00,7.7,73,15.3,263
1786720037,2026-08-14T22:07:17+07:00,9.2,73,9.0,263
1786720038,2026-08-14T22:07:18+07:00,5.8,74,5.7,264
1786720039,2026-08-14T22:07:19+07:00,6.3,74,3.7,264
1786720040,2026-08-14T22:07:20+07:00,9.1,74,4.8,264
1786720042,2026-08-14T22:07:22+07:00,8.7,74,10.9,264
1786720043,2026-08-14T22:07:23+07:00,7.3,74,7.4,264
1786720044,2026-08-14T22:07:24+07:00,4.8,74,7.1,264
1786720045,2026-08-14T22:07:25+07:00,9.3,74,4.2,264
1786720046,2026-08-14T22:07:26+07:00,12.3,74,2.0,264
1786720047,2026-08-14T22:07:27+07:00,9.6,75,12.1,264
1786720048,2026-08-14T22:07:28+07:00,9.6,75,2.3,265
1786720049,2026-08-14T22:07:29+07:00,6.3,76,5.7,265
1786720050,2026-08-14T22:07:30+07:00,5.8,77,2.7,265
1786720051,2026-08-14T22:07:31+07:00,7.0,78,2.8,265
1786720052,2026-08-14T22:07:32+07:00,10.3,76,3.2,265
1786720053,2026-08-14T22:07:33+07:00,6.6,76,3.5,265
1786720054,2026-08-14T22:07:34+07:00,7.4,76,3.9,265
1786720055,2026-08-14T22:07:35+07:00,5.6,76,1.1,265
1786720056,2026-08-14T22:07:36+07:00,11.3,76,4.2,265
1786720057,2026-08-14T22:07:37+07:00,10.0,76,3.5,265
1786720059,2026-08-14T22:07:39+07:00,6.8,76,1.9,265
1786720060,2026-08-14T22:07:40+07:00,9.5,76,9.2,265
1786720061,2026-08-14T22:07:41+07:00,6.3,77,7.5,265
1786720062,2026-08-14T22:07:42+07:00,9.4,78,3.5,265
1786720063,2026-08-14T22:07:43+07:00,6.9,79,6.3,265
1786720064,2026-08-14T22:07:44+07:00,11.4,80,2.4,265
1786720065,2026-08-14T22:07:45+07:00,7.9,80,1.6,265
1786720066,2026-08-14T22:07:46+07:00,6.6,80,4.0,265
1786720067,2026-08-14T22:07:47+07:00,6.4,80,5.7,266
1786720068,2026-08-14T22:07:48+07:00,12.2,80,2.9,266
1786720069,2026-08-14T22:07:49+07:00,11.4,81,3.8,266
