ts,iso,sut_cpu,sut_rss_mb,jmeter_cpu,jmeter_rss_mb
1786720428,2026-08-14T22:13:48+07:00,9.9,97,0,0
1786720429,2026-08-14T22:13:49+07:00,0.3,97,87.2,266
1786720430,2026-08-14T22:13:50+07:00,2.8,97,107.4,298
1786720431,2026-08-14T22:13:51+07:00,6.1,97,18.4,306
1786720432,2026-08-14T22:13:52+07:00,5.3,97,10.7,307
1786720434,2026-08-14T22:13:54+07:00,9.9,97,16.1,307
1786720435,2026-08-14T22:13:55+07:00,19.8,61,15.4,316
1786720436,2026-08-14T22:13:56+07:00,13.3,60,19.2,317
1786720437,2026-08-14T22:13:57+07:00,11.7,62,19.2,318
1786720438,2026-08-14T22:13:58+07:00,13.3,64,16.6,319
1786720439,2026-08-14T22:13:59+07:00,17.7,67,19.6,320
1786720440,2026-08-14T22:14:00+07:00,16.4,70,15.3,321
1786720441,2026-08-14T22:14:01+07:00,13.8,69,20.2,322
1786720442,2026-08-14T22:14:02+07:00,19.8,73,14.4,322
1786720443,2026-08-14T22:14:03+07:00,20.8,77,13.6,322
1786720444,2026-08-14T22:14:04+07:00,17.6,79,17.6,323
1786720445,2026-08-14T22:14:05+07:00,16.3,80,15.6,323
1786720446,2026-08-14T22:14:06+07:00,18.4,84,18.8,324
1786720447,2026-08-14T22:14:07+07:00,19.4,88,15.8,331
1786720448,2026-08-14T22:14:08+07:00,21.1,94,15.0,332
1786720450,2026-08-14T22:14:10+07:00,22.9,95,9.5,332
1786720451,2026-08-14T22:14:11+07:00,22.4,95,9.1,332
1786720452,2026-08-14T22:14:12+07:00,24.1,95,12.2,332
1786720453,2026-08-14T22:14:13+07:00,18.4,96,19.4,332
1786720454,2026-08-14T22:14:14+07:00,27.3,97,10.6,333
1786720455,2026-08-14T22:14:15+07:00,25.5,97,13.7,333
1786720456,2026-08-14T22:14:16+07:00,20.8,97,10.7,341
1786720457,2026-08-14T22:14:17+07:00,19.2,97,16.4,353
1786720458,2026-08-14T22:14:18+07:00,32.7,98,7.7,364
1786720459,2026-08-14T22:14:19+07:00,21.3,98,21.6,376
1786720460,2026-08-14T22:14:20+07:00,25.4,98,18.6,389
1786720461,2026-08-14T22:14:21+07:00,29.7,98,7.6,401
1786720462,2026-08-14T22:14:22+07:00,16.5,99,22.5,413
1786720463,2026-08-14T22:14:23+07:00,12.7,99,38.3,425
1786720464,2026-08-14T22:14:24+07:00,24.8,99,10.8,438
1786720465,2026-08-14T22:14:25+07:00,34.3,98,4.1,447
1786720466,2026-08-14T22:14:26+07:00,15.3,98,28.5,447
1786720468,2026-08-14T22:14:28+07:00,20.6,98,19.8,454
1786720469,2026-08-14T22:14:29+07:00,32.2,99,2.6,454
1786720470,2026-08-14T22:14:30+07:00,27.8,99,6.0,455
1786720471,2026-08-14T22:14:31+07:00,16.7,99,14.7,455
1786720472,2026-08-14T22:14:32+07:00,32.3,99,4.5,456
1786720473,2026-08-14T22:14:33+07:00,33.9,100,4.5,457
1786720474,2026-08-14T22:14:34+07:00,30.0,100,2.2,457
1786720475,2026-08-14T22:14:35+07:00,33.4,100,3.9,457
1786720476,2026-08-14T22:14:36+07:00,29.2,100,2.4,457
1786720477,2026-08-14T22:14:37+07:00,32.1,101,5.1,457
1786720478,2026-08-14T22:14:38+07:00,33.8,101,2.6,457
1786720479,2026-08-14T22:14:39+07:00,32.5,100,3.5,457
1786720480,2026-08-14T22:14:40+07:00,34.8,100,5.9,458
1786720481,2026-08-14T22:14:41+07:00,35.5,100,3.8,464
1786720482,2026-08-14T22:14:42+07:00,33.2,101,5.7,474
1786720483,2026-08-14T22:14:43+07:00,32.6,101,2.9,486
1786720485,2026-08-14T22:14:45+07:00,32.0,101,3.4,498
1786720486,2026-08-14T22:14:46+07:00,28.7,101,12.9,509
1786720487,2026-08-14T22:14:47+07:00,32.3,101,5.0,521
1786720488,2026-08-14T22:14:48+07:00,27.3,101,7.3,533
1786720489,2026-08-14T22:14:49+07:00,31.8,101,4.9,545
1786720490,2026-08-14T22:14:50+07:00,30.3,101,4.3,556
1786720491,2026-08-14T22:14:51+07:00,30.5,101,4.6,568
1786720492,2026-08-14T22:14:52+07:00,31.9,101,4.0,580
1786720493,2026-08-14T22:14:53+07:00,30.8,101,3.7,592
1786720494,2026-08-14T22:14:54+07:00,35.4,101,3.4,603
1786720495,2026-08-14T22:14:55+07:00,31.6,101,3.8,615
1786720496,2026-08-14T22:14:56+07:00,32.8,101,6.7,626
1786720497,2026-08-14T22:14:57+07:00,32.8,101,4.0,638
1786720498,2026-08-14T22:14:58+07:00,31.7,101,4.7,650
1786720499,2026-08-14T22:14:59+07:00,31.4,101,3.6,661
1786720500,2026-08-14T22:15:00+07:00,31.0,101,2.3,673
1786720502,2026-08-14T22:15:02+07:00,35.6,101,3.9,685
1786720503,2026-08-14T22:15:03+07:00,32.1,101,4.2,697
1786720504,2026-08-14T22:15:04+07:00,30.1,101,2.8,708
1786720505,2026-08-14T22:15:05+07:00,31.8,101,3.2,720
1786720506,2026-08-14T22:15:06+07:00,31.8,101,6.0,732
1786720507,2026-08-14T22:15:07+07:00,27.7,101,7.8,744
1786720508,2026-08-14T22:15:08+07:00,29.9,101,4.1,755
1786720509,2026-08-14T22:15:09+07:00,30.0,101,7.4,768
1786720510,2026-08-14T22:15:10+07:00,35.8,101,3.0,779
1786720511,2026-08-14T22:15:11+07:00,31.3,101,4.6,791
1786720512,2026-08-14T22:15:12+07:00,32.1,101,3.6,802
1786720513,2026-08-14T22:15:13+07:00,31.3,101,3.2,814
1786720514,2026-08-14T22:15:14+07:00,34.0,101,3.5,826
1786720515,2026-08-14T22:15:15+07:00,31.9,101,2.6,837
1786720516,2026-08-14T22:15:16+07:00,31.1,101,3.0,849
1786720518,2026-08-14T22:15:18+07:00,31.6,101,2.7,861
1786720519,2026-08-14T22:15:19+07:00,31.7,101,7.0,880
1786720520,2026-08-14T22:15:20+07:00,32.7,101,3.3,880
1786720521,2026-08-14T22:15:21+07:00,34.1,101,2.4,880
1786720522,2026-08-14T22:15:22+07:00,25.4,101,7.6,880
1786720523,2026-08-14T22:15:23+07:00,24.5,101,5.9,880
1786720524,2026-08-14T22:15:24+07:00,33.9,101,3.1,880
1786720525,2026-08-14T22:15:25+07:00,34.1,101,2.8,880
1786720526,2026-08-14T22:15:26+07:00,34.5,101,1.7,880
1786720527,2026-08-14T22:15:27+07:00,33.5,101,2.4,880
1786720528,2026-08-14T22:15:28+07:00,35.4,101,2.7,880
1786720529,2026-08-14T22:15:29+07:00,37.8,101,1.8,880
1786720530,2026-08-14T22:15:30+07:00,33.0,101,1.8,880
1786720531,2026-08-14T22:15:31+07:00,32.5,101,2.4,880
1786720532,2026-08-14T22:15:32+07:00,35.6,101,2.6,881
1786720534,2026-08-14T22:15:34+07:00,32.2,101,1.9,881
1786720535,2026-08-14T22:15:35+07:00,32.6,101,0.6,881
1786720536,2026-08-14T22:15:36+07:00,32.8,101,1.0,881
1786720537,2026-08-14T22:15:37+07:00,36.0,101,0.9,881
1786720538,2026-08-14T22:15:38+07:00,36.2,101,1.5,882
1786720539,2026-08-14T22:15:39+07:00,34.9,101,1.2,882
1786720540,2026-08-14T22:15:40+07:00,32.4,101,1.4,883
1786720541,2026-08-14T22:15:41+07:00,37.0,101,1.2,883
1786720542,2026-08-14T22:15:42+07:00,35.8,101,0.7,883
1786720543,2026-08-14T22:15:43+07:00,36.1,101,0.5,883
1786720544,2026-08-14T22:15:44+07:00,37.1,101,0.6,883
1786720545,2026-08-14T22:15:45+07:00,37.2,102,0.8,883
1786720546,2026-08-14T22:15:46+07:00,38.6,102,0.7,883
1786720547,2026-08-14T22:15:47+07:00,35.6,102,1.0,883
1786720548,2026-08-14T22:15:48+07:00,38.6,102,0.6,883
1786720549,2026-08-14T22:15:49+07:00,37.6,102,0.1,883
1786720550,2026-08-14T22:15:50+07:00,35.6,102,1.5,883
1786720552,2026-08-14T22:15:52+07:00,36.6,102,0.2,891
1786720553,2026-08-14T22:15:53+07:00,34.9,102,2.2,891
1786720554,2026-08-14T22:15:54+07:00,34.4,102,5.5,891
1786720555,2026-08-14T22:15:55+07:00,28.7,102,6.3,891
1786720556,2026-08-14T22:15:56+07:00,27.7,102,28.8,891
1786720557,2026-08-14T22:15:57+07:00,37.0,102,0.9,892
1786720558,2026-08-14T22:15:58+07:00,40.1,102,0.4,892
1786720559,2026-08-14T22:15:59+07:00,37.6,102,0.6,892
1786720560,2026-08-14T22:16:00+07:00,38.3,102,0.3,892
1786720561,2026-08-14T22:16:01+07:00,35.8,102,0.4,892
1786720562,2026-08-14T22:16:02+07:00,37.7,102,0.3,892
1786720563,2026-08-14T22:16:03+07:00,36.6,102,0.9,892
1786720564,2026-08-14T22:16:04+07:00,35.1,102,0.3,892
1786720565,2026-08-14T22:16:05+07:00,37.9,102,0.0,892
1786720566,2026-08-14T22:16:06+07:00,37.0,102,2.1,892
1786720567,2026-08-14T22:16:07+07:00,38.0,102,0.3,892
1786720568,2026-08-14T22:16:08+07:00,36.9,102,0.7,892
1786720570,2026-08-14T22:16:10+07:00,40.0,102,1.3,892
1786720571,2026-08-14T22:16:11+07:00,38.6,102,0.0,892
1786720572,2026-08-14T22:16:12+07:00,35.4,102,0.3,892
1786720573,2026-08-14T22:16:13+07:00,37.9,102,0.6,892
1786720574,2026-08-14T22:16:14+07:00,34.4,102,0.1,892
1786720575,2026-08-14T22:16:15+07:00,38.0,102,0.1,892
1786720576,2026-08-14T22:16:16+07:00,37.8,102,0.4,892
1786720577,2026-08-14T22:16:17+07:00,37.5,102,0.3,892
1786720578,2026-08-14T22:16:18+07:00,35.3,102,0.4,894
1786720579,2026-08-14T22:16:19+07:00,41.4,102,1.0,894
1786720580,2026-08-14T22:16:20+07:00,37.4,103,0.2,894
1786720581,2026-08-14T22:16:21+07:00,35.6,103,0.1,894
1786720582,2026-08-14T22:16:22+07:00,36.3,103,0.1,894
1786720583,2026-08-14T22:16:23+07:00,36.3,103,0.1,894
