start	end	text
0	14000	Ok, bây giờ mình sẽ giao cho bạn ý nhiên một cái test là dùng ô tìm kiếm trên web này, gõ iPhone để tìm sản phẩm, mở chiên chi tiết, chọn mua 3 cái, rồi bỏ vào giỏ hèn nha.
14000	16000	Mua 3 cái hả?
16000	17000	Đúng rồi.
30000	40000	Đã hết chưa?
40000	42000	Lên.
48000	50000	Hết chưa? Xong rồi đó.
54000	56000	Mình có thể thử lại.
60000	62000	Tại nó có.
71000	72000	Làm.
75000	78000	Sao em chưa chưa trời?
84000	88000	Ok, bây giờ mình sẽ hỏi bạn một số câu hỏi.
88000	92380	Thì phần nào của giao diện làm bạn thấy khó hiểu hoặc bối rối nhất?
93100	94580	Cái nút thêm nhiều võ hàng
94580	99500	Nếu lỡ thao tác sai thì bạn có biết cách quay lại hoặc xử lỗi không?
110440	114700	Thao tác sai là thao tác sai trên cái web, trên cái quá trình nãy giờ hả?
114980	115420	Đúng rồi
115420	119280	Có biết quay lại chứ không biết cơ sở lỗi
119280	124080	Bạn có cảm thấy hoàn thành nhiệm vụ nhanh và thuận tiện không? Vì sao?
124740	127160	Không, thêm nhiều võ hàng không được
127160	132240	Bạn có cảm thấy yên tâm khi nhập thông tin hoặc thực hiện thanh toán trên ứng dụng không?
132780	133080	Không
133080	135020	Ok, cảm ơn bạn
135020	137920	Chú mắt cười quá hả?
138920	139680	Gì vậy?
140300	141640	Chú mắt cười vậy?
141640	145500	Cái nút này nó sao sao thì phải bấm mấy lần
145500	146500	Ủa?
146500	147500	Sao?
147500	148500	Sao?
148500	150360	Ủa sao bà thêm được, tui thêm được dạ
150360	152360	Ngồi điện này đi
152360	153360	Là sao?
153360	154360	Nhưng mà tại sao?
154360	155160	Không quý
155160	157240	Đâu phải web của tui làm
157240	160360	Ngày tham gia tí là hôm nay, ngày mới 27
160360	161360	Ngày mới 27
163520	164800	Ủa sao hông mang tột đồ
170760	172360	Thôi mà tính điện 2005 sao bà tham gia tí
172360	172860	Ừ
172860	173360	Tiếm tí
174360	176400	Giờ số tiện dưới cái này
190360	204360	Phương tạp một cách không cần thiết hả?
204360	205720	Hông đâu có phương tạp lắm
205720	209220	Dễ sử dụng hông hông?
209220	213360	Cần đổ trợ kỹ thuật viên của người đúng rồi đúng rồi
213360	217360	Được tích hợp rất tốt hông?
217360	219360	Dạ
219360	220360	Thiếu nhắc quán
220360	221360	Thiếu nhắc quán hả?
221360	222360	Có
225360	227360	Sử dụng hệ thống này rất nhanh
229360	230360	Rất rừng ràng
230360	231360	Có sử dụng
231360	232360	Sao bà không đồng ý hết?
232360	233360	Bà đọc coi
233360	235360	Bà với cái sự test của tui đấy
235360	236360	Bà nghĩ sao tui đồng ý được?
236360	238360	Thiếu nhắc quán không đồng ý
238360	240360	Bây giờ tui bấm thêm vô võ hàng
240360	241360	Mà xong tui vô võ hàng không có
241360	242360	Thì chả phải thiếu nhắc quán
242360	243360	Ý là
243360	244360	Thì là bà đang đồng ý mà
244360	245360	Ừ dạ
245360	247360	Thì là cái này bà đang đánh vô không đồng ý
247360	248360	À
248360	249360	Quá thử
249360	252360	Nó xin chỉ một câu tích cực
252360	253360	Ôi phiền thế
253360	267360	Rất rừng ràng
267360	268360	Khó sử dụng không?
268360	270360	Thấy rất tự tin khi sử dụng hệ thống không?
273360	276360	Học rất nhiều thứ trước khi có thể bắt đầu sử dụng hệ thống này
276360	278360	Đừng đăng ít dụng hệ thống không?
278360	279360	Khi tham ngươi thống không dễ
279360	281360	Tạiî
284360	286360	Đừng quên đa
286360	288360	Nằm Joy
288360	290360	Thay
290360	320340	Hãy subscribe cho kênh lalaschool Để không bỏ lỡ những video hấp dẫn
320360	350340	Để không bỏ lỡ những video hấp dẫn
